100:01;A2r['  ]| <div2>Enter Chorus.
100:01;A2r[U  ]| Not marching in$4$ the fields of Thrasimen, 
100:01;A2r[U  ]| Where Mars did mate the warlicke Carthagens, 
100:01;A2r[U  ]| Nor sporting in$4$ the dalliance of love 
100:01;A2r[U  ]| In$4$ Courts of Kings, where state is ouer-turn'd 
100:01;A2r[U  ]| Nor in$4$ the pompe of proud audacious deeds, 
100:01;A2r[U  ]| Intends our$6#2$ Muse to$9$ vaunt his heauenly verse 
100:01;A2r[U  ]| Onely this, Gentles:  we$6#2$ must now performe 
100:01;A2r[U  ]| The forme of Faustus fortunes, good or bad, 
100:01;A2r[U  ]| And now to$4$ patient iudgments we$6#2$ appeale, 
100:01;A2r[U  ]| And speak for$4$ Faustus in$4$ his infancie.  
100:01;A2r[U  ]| Now is he borne, of parents base of stocke, 
100:01;A2r[U  ]| In$4$ Germany, within a Towne call'd Rhodes:  
100:01;A2r[U  ]| At riper yeares to$4$ Wittenberg he went, 
100:01;A2r[U  ]| Whereas his kinsmen chiefly brought him up$5$; 
100:01;A2r[U  ]| So$5#1$ much he profits in$4$ Diuinitie, 
100:01;A2r[U  ]| That$3$ shortly he was grac'd with Doctors name, 
100:01;A2r[U  ]| Excelling all, and sweetly can dispute 
100:01;A2r[U  ]| In$4$ the heauenly matters of Theologie, 
100:01;A2r[U  ]| Till swolne with cunning, of a selfe*conceit, 
100:01;A2r[U  ]| His waxen wings did mount above his reach, 
100:01;A2r[U  ]| And melting, heauens conspir'd his ouer-throw:  
100:01;A2r[U  ]| For$3$ falling to$4$ a diuellisher <corr sic="ercise">exercise</corr>, 
100:01;A2r[U  ]| And glutted now with learnings golden gifts, 
100:01;A2r[U  ]| He surfets upon$4$ cursed Necromancie:  
100:01;A2v[U  ]| Nothing so$5#1$ sweet as Magicke is to$4$ him; 
100:01;A2v[U  ]| Which$6#1$ he preferres before his chiefest blisse, 
100:01;A2v[U  ]| And this the man that$6#1$ in$4$ his study sits.  </div2>
001:01;A2v['  ]| <div2> Faustus in$4$ his study. 
001:01;A2v[A  ]| Settle thy studies Faustus, and begin 
001:01;A2v[A  ]| To$9$ sound the depth of that$6#2$ thou wilt professe, 
001:01;A2v[A  ]| Having commenc'd, be a Diuine in$4$ shew, 
001:01;A2v[A  ]| Yet leuell at the end of <reg orig="euery">every</reg> Art&H0;, 
001:01;A2v[A  ]| And live and die in$4$ Aristotles workes.  
001:01;A2v[A  ]| Sweet Analitikes, it is thou hast rauisht me, 
001:01;A2v[A  ]| <foreign>7Bene 7disserere 7est 7finis 7Logicis.</foreign>  
001:01;A2v[A  ]| Is to$9$ dispute well Logickes chiefest end?  
001:01;A2v[A  ]| Affoords this Art&H0; no$2$ greater miracle?  
001:01;A2v[A  ]| Then read no$2$ more, thou hast attain'd that$6#2$ end; 
001:01;A2v[A  ]| A greater subiect fitteth Faustus wit:  
001:01;A2v[A  ]| Bid Oeconomy farewell; and Galen come:  
001:01;A2v[A  ]| Be a Phisitian Faustus, heape up$5$ gold, 
001:01;A2v[A  ]| And be eterniz'd for$4$ some wondrous cure:  
001:01;A2v[A  ]| <foreign>7Summum 7bonum, 7medicina*e 7sanitas</foreign>, 
001:01;A2v[A  ]| The end of Physicke is our$6#2$ bodies health:  
001:01;A2v[A  ]| Why Faustus, hast thou not attain'd that$6#2$ end?  
001:01;A2v[A  ]| Are not thy bills hung up$5$ as monuments, 
001:01;A2v[A  ]| Wherby whole Cities have escap't the plague, 
001:01;A2v[A  ]| And thousand desperate maladies been cur'd?  
001:01;A2v[A  ]| Yet art thou still but Faustus, and a man.  
001:01;A2v[A  ]| Couldst thou make men to$9$ live eternally, 
001:01;A2v[A  ]| Or being dead, raise them to$4$ life again, 
001:01;A2v[A  ]| Then this profession were to$9$ be esteem'd.  
001:01;A2v[A  ]| Physicke farewell:  where is Iustinian?  
001:01;A2v[A  ]| <foreign>7Si 7vna 7eademque 7res 7legatus 7duobus, </foreign>
001:01;A2v[A  ]| <foreign> 7Alter 7rem, 7alter 7valorem 7rei, &c.</foreign>
 001:01;A2v[A  ]| A petty case of paltry Legacies, 
001:01;A2v[A  ]| <foreign>7Exhereditari 7filium 7non 7potest 7pater, 7nisi</foreign> ~~ 
001:01;A2v[A  ]| Such is the subiect of the institute, 
001:01;A2v[A  ]| And vniuersall body of the law.  
001:01;A2v[A  ]| This study fits a Mercenarie drudge, 
001:01;A2v[A  ]| Who$6#1$ aims at nothing but externall trash, 
001:01;A2v[A  ]| Too seruile and illiberall for$4$ me.  
001:01;A3r[A  ]| When all is done, Diuinitie is best:  
001:01;A3r[A  ]| Ieromes Bible Faustus, view it well:  
001:01;A3r[A  ]| <foreign>7Stipendium 7peccati, 7mors 7est:  7ha, 7stipendium, &c. </foreign>
001:01;A3r[A  ]| The reward of sin is death?  that$6#2$ is hard:  
001:01;A3r[A  ]| <foreign>7Si 7peccasse, 7negamus, 7fallimur, 7& 7nulla 7est 7in 7nobis 7veritas: </foreign>
001:01;A3r[A  ]| If we$6#2$ say that$3$ we$6#2$ have no$2$ sinne 
001:01;A3r[A  ]| We$6#2$ deceiue ourselves, and there is no$2$ truth is us$6#2$.  
001:01;A3r[A  ]| Why then belike we$6#2$ must sinne, 
001:01;A3r[A  ]| And so$3$ consequently die, 
001:01;A3r[A  ]| Aye, we$6#2$ must die, an euerlasting death.  
001:01;A3r[A  ]| What doctrine call you this?  <foreign>8Che 8sera, 8sera</foreign>: 
001:01;A3r[A  ]| What will$1$ be, shall be; Diuinitie adeiw.  
001:01;A3r[A  ]| These Metaphisicks of Magitians, 
001:01;A3r[A  ]| And Negromantick bookes are heauenly, 
001:01;A3r[A  ]| Lines, Circles, Letters, Characters:  
001:01;A3r[A  ]| Aye these are those that$6#1$ Faustus most desires.  
001:01;A3r[A  ]| O what a world of profite and delight, 
001:01;A3r[A  ]| Of power, of honour, and omnipotence, 
001:01;A3r[A  ]| Is promised to$4$ the Studious Artizan?  
001:01;A3r[A  ]| All things that$6#1$ moue <reg orig="betweene">between</reg> the quiet Poles 
001:01;A3r[A  ]| Shall be at my command:  Emperors and Kings, 
001:01;A3r[A  ]| Are but obey'd in$4$ their seuerall Prouinces:  
001:01;A3r[A  ]| But his dominion that$6#1$ exceeds in$4$ this, 
001:01;A3r[A  ]| Stretcheth as farre as doth the mind of man:  
001:01;A3r[A  ]| A sound Magitian is a Demi-god, 
001:01;A3r[A  ]| Here tire my braines to$9$ get a Deity.  
001:01;A3r['  ]| Enter Wagner. 
001:01;A3r[A  ]| Wagner, commend me to$4$ my deerest friends, 
001:01;A3r[A  ]| The Germane Valdes and Cornelius, 
001:01;A3r[A  ]| Request them earnestly to$9$ visit me.  
001:01;A3r[B  ]| I will$1$ sir.  
001:01;A3r['  ]| Exit. 
001:01;A3r[A  ]| Their conference will$1$ be a greater helpe to$4$ me, 
001:01;A3r[A  ]| Than all my labours, plod I <reg orig="ne're">never</reg> so$5#1$ fast.  
001:01;A3r['  ]| Enter the Angell and Spirit. 
001:01;A3r[C  ]| O Faustus, lay that$6#2$ damned booke aside, 
001:01;A3r[C  ]| And gaze not on$4$ it least it tempt thy soule, 
001:01;A3r[C  ]| And heape Gods heauy wrath upon$4$ thy head.  
001:01;A3v[C  ]| Reade, reade the Scriptures:  that$6#2$ is blasphemy.  
