Title,W&R_ID,Filename,Author,Company of First Production,Place_of_first_production,Date,earliest,latest,span,Date_of_publication,Genre,Metadata_source,Play-type,STC_or_WING,Version,DEEP_ID,STC-Wing,verse,prose,Primary_alternative
King Johan,64,KingJohan_1985,Bale John,NA,,1538,1538,1539,2,1985,History; moral,W&R,Private performance,NA,,NA,NA,"1,767",11,primary
Ralph Roister Doister,234,RalphRoisterDoister_1566,Udall Nicholas,NA,,1552,1550,1553,4,1566,Comedy,W&R,Interlude,24508,,71,24508,"2,014",0,primary
Gammer Gurton's Needle,253,GammerGurtonsNeedle_1575,Uncertain,NA,,1553,1551,1554,4,1575,Comedy,W&R,University,23263,,95,23263,"1,289",2,primary
Patient and Meek Grissel,350,PatientandMeekGrissel_1566,Phillip John,NA,,1559,1558,1566,9,1566,Comedy,W&R,Interlude,19865,,81,19865,"2,105",4,primary
Ferrex and Porrex,351,FerrexandPorrex_1565,Sackville Thomas,NA,,1562,,,1,1565,Tragedy,W&R,Inns of Court,18684,,59,18684,"1,796",2,primary
Damon and Pithias,389,DamonandPithias_1571,Edwards Richard,Children of the Chapel (first),,1564,1564,1565,2,1571,Tragicomedy,W&R,Boys Nonprofessional/School,7514,,89,7514,"1,869",48,primary
Appius and Virginia,432,AppiusandVirginia_1575,Uncertain,NA,,1564,1559,1567,9,1575,Classical Moral,W&R,Boys Nonprofessional/School (?),1059,,94,1059,969,0,primary
Tancred and Gismund,467,TancredandGismund_SilentReg_1591,Wilmot et al.,NA,,1567,1566,1569,4,1591,Tragedy,W&R,Inns of Court,25764,,138,25764,"1,565",0,primary
Clyomon and Clamydes,634,ClyomonandClamides_1599,Uncertain,Queen Elizabeth's Men,,1570,1570,1593,24,1599,Heroical Romance,W&R,Adult Professional,5450a,,276,5450a,"2,088",4,primary
Three Ladies of London,700,ThreeLadiesofLondon_1584,Wilson Robert,Leicester's Men,,1581,,,1,1584,Moral,W&R,Adult Professional,25784,,119,25784,"1,632",33,primary
Rare Triumphs of Love and Fortune,734,RareTriumphs_1589,Uncertain,Derby's (Strange's) Men,,1582,,,1,1589,Mythological Moral,W&R,Adult Professional,24286,,127,24286,"1,643",54,primary
Campaspe,746,Campaspe_1632_PV,Lyly John,Children of the Chapel (first);Children of Paul's (first),,1583,,,1,1632,Classical Legend (Comedy),W&R,Boys Professional,17088,,5098.02,17088,43,"1,612",primary
Fedele and Fortunia,747,FedeleandFortunia_1585,Munday Anthony (?),NA,,1584,1579,1584,6,1585,Comedy,W&R,Private; Translation,19447,,121,19447,"1,501",56,primary
Arraignment of Paris,751,ArraignmentofParis_1584,Peele George,Children of the Chapel (first),,1581,1581,1584,4,1584,Classical Legend (Pastoral),W&R,Boys Professional,19530,,114,19530,"1,266",1,primary
Sappho and Phao,753,SapphoAndPhao_1584,Lyly John,Children of the Chapel (first);Children of Paul's (first),,1583,,,1,1584,Classical Legend (Comedy),W&R,Boys Professional,17086,,111,17086,73,"1,602",primary
Gallathea,754,Gallathea_1592,Lyly John,Children of Paul's (first),,1585,1584,1585,2,1592,Classical Legend (Comedy),W&R,Boys Professional,17080,,140,17080,39,"1,628",primary
Famous Victories of Henry the Fifth,773,FamousVictories_1598,Uncertain,Queen Elizabeth's Men,,1586,1583,1587,5,1598,History,W&R,Adult Professional,13072,,252,13072,9,"1,572",primary
Spanish Tragedy,783,SpanishTragedy_SilentReg_1592,Kyd Thomas,Derby's (Strange's) Men,,1587,1585,1591,7,1592,Tragedy,W&R,Adult Professional,15086,,150,15086,"2,600",137,primary
Spanish Tragedy 1602,783,Spanish_Tragedy1602,Kyd Thomas,Derby's (Strange's) Men,,1587,1585,1591,7,1602,Tragedy,W&R,Adult Professional,15086,,150,15086,"2,600",137,alternative
1 Tamburlaine the Great,784,1Tamburlaine_SilentReg_1590,Marlowe Christopher,Admiral's (Nottingham's) Men,,1587,,,1,1590,Heroical Romance,W&R,Adult Professional,17425,,5017.01,workind,"2,221",96,primary
Alphonsus King of Aragon,788,Alphonsus_1599,Greene Robert,unknown,,1587,1587,1589,3,1599,Heroical Romance,W&R,Adult Professional,12233,,275,12233,"1,934",1,primary
2 Tamburlaine the Great,789,2Tamburlaine_1590,Marlowe Christopher,Admiral's (Nottingham's) Men,,1588,,,1,1590,Heroical Romance,W&R,Adult Professional,17425,,5017.02,17425,"2,254",82,primary
Endymion the Man in the Moon,794,Endymion_1591,Lyly John,Children of Paul's (first),,1588,1585,1588,4,1591,Classical Legend (Comedy),W&R,Boys Professional,17050,,133,17050,58,"2,198",primary
Soliman and Perseda,799,SolimanandPerseda_1592,Kyd Thomas,Uncertain,,1592,1588,1589,2,1592,Tragedy,W&R,Adult Professional,22894,,147,22894,"1,835",435,primary
Wounds of Civil War,802,WoundsofCivilWar_1594,Lodge Thomas,Admiral's (Nottingham's) Men,,1588,1587,1588,2,1594,Classical History,W&R,Adult Professional,16678,,188,16678,"2,444",119,primary
Doctor Faustus,810,DoctorFaustus_1604,Marlowe Christopher,Admiral's (Nottingham's) Men,,1592,1587,1589,3,1604,Tragedy,W&R,Adult Professional,17429,,369,17429,809,654,primary
